BHF,Brighthouse Financial Inc,Financials,Life & Health Insurance
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors
AVGO,Broadcom,Information Technology,Semiconductors
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics
CA,"CA Inc.",Information Technology,Systems Software
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production
CDNS,Cadence Design Systems,Information Technology,Application Software
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats
COF,Capital One Financial,Financials,Consumer Finance
CAH,Cardinal Health,Health Care,Health Care Distributors
CBOE,CBOE Holdings,Financials,Financial Exchanges & Data
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores
CCL,Carnival Corp.,Consumer Discretionary,"Hotels Resorts & Cruise Lines"
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks
CBG,CBRE Group,Real Estate,Real Estate Services
CBS,CBS Corp.,Consumer Discretionary,Broadcasting
CELG,Celgene Corp.,Health Care,Biotechnology
CNC,Centene Corporation,Health Care,Managed Health Care
CNP,CenterPoint Energy,Utilities,Multi-Utilities
CTL,CenturyLink Inc,Telecommunication Services,Integrated Telecommunication Services
CERN,Cerner,Health Care,Health Care Technology
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite
CHK,Chesapeake Energy,Energy,Oil & Gas Exploration & Production
CVX,Chevron Corp.,Energy,Integrated Oil & Gas
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CB,Chubb Limited,Financials,Property & Casualty Insurance
CHD,Church & Dwight,Consumer Staples,Household Products
CI,CIGNA Corp.,Health Care,Managed Health Care
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
CTAS,Cintas Corporation,Industrials,Diversified Support Services
CSCO,Cisco Systems,Information Technology,Communications Equipment
C,Citigroup Inc.,Financials,Diversified Banks
CFG,Citizens Financial Group,Financials,Regional Banks
CTXS,Citrix Systems,Information Technology,Internet Software & Services
CLX,The Clorox Company,Consumer Staples,Household Products
CME,CME Group Inc.,Financials,Financial Exchanges & Data
CMS,CMS Energy,Utilities,Multi-Utilities
KO,Coca-Cola Company,Consumer Staples,Soft Drinks
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services
CL,Colgate-Palmolive,Consumer Staples,Household Products
CMCSA,Comcast Corp.,Consumer Discretionary,Cable & Satellite
CMA,Comerica Inc.,Financials,Diversified Banks
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
ED,Consolidated Edison,Utilities,Electric Utilities
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
COO,The Cooper Companies,Health Care,Health Care Supplies
GLW,Corning Inc.,Information Technology,Electronic Components
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers
COTY,"Coty Inc",Consumer Staples,Personal Products
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs
CSRA,CSRA Inc.,Information Technology,IT Consulting & Other Services
CSX,CSX Corp.,Industrials,Railroads
CMI,Cummins Inc.,Industrials,Industrial Machinery
CVS,CVS Health,Consumer Staples,Drug Retail
DHI,D. R. Horton,Consumer Discretionary,Homebuilding
DHR,Danaher Corp.,Health Care,Health Care Equipment
DRI,Darden Restaurants,Consumer Discretionary,Restaurants
DVA,DaVita,Health Care,Health Care Facilities
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery
DAL,Delta Air Lines,Industrials,Airlines
XRAY,Dentsply Sirona,Health Care,Health Care Supplies
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
DLR,Digital Realty,Real Estate,Specialized REITs
DFS,Discover Financial Services,Financials,Consumer Finance
DISCA,Discovery Communications,Consumer Discretionary,Cable & Satellite
DISCK,Discovery Communications,Consumer Discretionary,Cable & Satellite
DISH,Dish Network,Consumer Discretionary,Cable & Satellite
DG,Dollar General,Consumer Discretionary,General Merchandise Stores
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores
D,Dominion Energy,Utilities,Electric Utilities
DOV,Dover Corp.,Industrials,Industrial Machinery
DWDP,DowDuPont,Materials,Diversified Chemicals
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks
DTE,DTE Energy,Utilities,Multi-Utilities
DRE,Duke Realty,Real Estate,Industrial REITs
DUK,Duke Energy,Utilities,Electric Utilities
DXC,DXC Technology,Information Technology,IT Consulting & Other Services
ETFC,E*Trade,Financials,Investment Banking & Brokerage
EMN,Eastman Chemical,Materials,Diversified Chemicals
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment
EBAY,eBay,Information Technology,Internet Software & Services
ECL,Ecolab,Materials,Specialty Chemicals
EIX,Edison Int'l,Utilities,Electric Utilities
EW,Edwards Lifesciences,Health Care,Health Care Equipment
EA,Electronic Arts,Information Technology,Home Entertainment Software
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment
ETR,Entergy Corp.,Utilities,Electric Utilities
EVHC,Envision Healthcare,Health Care,Health Care Services
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production
EFX,Equifax Inc.,Industrials,Research & Consulting Services
EQIX,Equinix,Real Estate,Specialized REITs
EQR,Equity Residential,Real Estate,Residential REITs
ESS,"Essex Property Trust Inc.",Real Estate,Residential REITs
EL,Estee Lauder Cos.,Consumer Staples,Personal Products
ES,Eversource Energy,Utilities,Multi-Utilities
RE,Everest Re,Financials,Reinsurance
EXC,Exelon Corp.,Utilities,Multi-Utilities
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail
EXPD,Expeditors International,Industrials,Air Freight & Logistics
ESRX,Express Scripts,Health Care,Health Care Distributors
EXR,Extra Space Storage,Real Estate,Specialized REITs
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas
FFIV,F5 Networks,Information Technology,Communications Equipment
FB,"Facebook Inc.",Information Technology,Internet Software & Services
FAST,Fastenal Co,Industrials,Building Products
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
FDX,FedEx Corporation,Industrials,Air Freight & Logistics
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services
FITB,Fifth Third Bancorp,Financials,Regional Banks
FE,FirstEnergy Corp,Utilities,Electric Utilities
FISV,Fiserv Inc,Information Technology,Internet Software & Services
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments
FLS,Flowserve Corporation,Industrials,Industrial Machinery
FLR,Fluor Corp.,Industrials,Construction & Engineering
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers
FTV,Fortive Corp,Industrials,Industrial Machinery
FBHS,Fortune Brands Home & Security,Industrials,Building Products
BEN,Franklin Resources,Financials,Asset Management & Custody Banks
FCX,Freeport-McMoRan Inc.,Materials,Copper
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics
IT,Gartner Inc,Information Technology,IT Consulting & Other Services
GD,General Dynamics,Industrials,Aerospace & Defense
GE,General Electric,Industrials,Industrial Conglomerates
GGP,General Growth Properties Inc.,Real Estate,Retail REITs
GIS,General Mills,Consumer Staples,Packaged Foods & Meats
GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores
GILD,Gilead Sciences,Health Care,Biotechnology
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel Accessories & Luxury Goods"
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers
HRS,Harris Corporation,Information Technology,Communications Equipment
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products
HCA,HCA Holdings,Health Care,Health Care Facilities
HCP,HCP Inc.,Real Estate,Health Care REITs
HP,Helmerich & Payne,Energy,Oil & Gas Drilling
HSIC,Henry Schein,Health Care,Health Care Distributors
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats
HES,Hess Corporation,Energy,Integrated Oil & Gas
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware Storage & Peripherals"
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels Resorts & Cruise Lines"
HOLX,Hologic,Health Care,Health Care Equipment
HD,Home Depot,Consumer Discretionary,Home Improvement Retail
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
HPQ,HP Inc.,Information Technology,"Technology Hardware Storage & Peripherals"
HUM,Humana Inc.,Health Care,Managed Health Care
HBAN,Huntington Bancshares,Financials,Regional Banks
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services
ITW,Illinois Tool Works,Industrials,Industrial Machinery
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services
IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery
INTC,Intel Corp.,Information Technology,Semiconductors
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data
IBM,International Business Machines,Information Technology,IT Consulting & Other Services
INCY,Incyte,Health Care,Biotechnology
IP,International Paper,Materials,Paper Packaging
IPG,Interpublic Group,Consumer Discretionary,Advertising
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals
INTU,Intuit,Information Technology,Internet Software & Services
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services
IQV,IQVIA,Health Care,Life Sciences Tools & Service
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs
JEC,Jacobs Engineering Group,Industrials,Construction & Engineering
JBHT,J. B. Hunt Transport Services,Industrials,Trucking
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats
JNJ,Johnson & Johnson,Health Care,Health Care Equipment
JCI,Johnson Controls International,Industrials,Building Products
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks
JNPR,Juniper Networks,Information Technology,Communications Equipment
KSU,Kansas City Southern,Industrials,Railroads
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats
KEY,KeyCorp,Financials,Regional Banks
KMB,Kimberly-Clark,Consumer Staples,Household Products
KIM,Kimco Realty,Real Estate,Retail REITs
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment
KSS,Kohl's,Consumer Discretionary,General Merchandise Stores
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KR,Kroger Co.,Consumer Staples,Food Retail
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail
LLL,L-3 Communications Holdings,Industrials,Aerospace & Defense
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services
LRCX,Lam Research,Information Technology,Semiconductor Equipment
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals
LNC,Lincoln National,Financials,Multi-line Insurance
LKQ,LKQ Corporation,Consumer Discretionary,Distributors
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense
L,Loews Corp.,Financials,Multi-line Insurance
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail
LYB,LyondellBasell,Materials,Specialty Chemicals
MTB,M&T Bank Corp.,Financials,Regional Banks
MAC,Macerich,Real Estate,Retail REITs
M,Macy's Inc.,Consumer Discretionary,Department Stores
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels Resorts & Cruise Lines"
MMC,Marsh & McLennan,Financials,Insurance Brokers
MLM,Martin Marietta Materials,Materials,Construction Materials
MAS,Masco Corp.,Industrials,Building Products
MA,Mastercard Inc.,Information Technology,Internet Software & Services
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants
MCK,McKesson Corp.,Health Care,Health Care Distributors
MDT,Medtronic plc,Health Care,Health Care Equipment
MRK,Merck & Co.,Health Care,Pharmaceuticals
MET,MetLife Inc.,Financials,Life & Health Insurance
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming
KORS,Michael Kors Holdings,Consumer Discretionary,"Apparel Accessories & Luxury Goods"
MCHP,Microchip Technology,Information Technology,Semiconductors
MU,Micron Technology,Information Technology,Semiconductors
MSFT,Microsoft Corp.,Information Technology,Systems Software
MAA,Mid-America Apartments,Real Estate,Residential REITs
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals
MNST,Monster Beverage,Consumer Staples,Soft Drinks
MCO,Moody's Corp,Financials,Financial Exchanges & Data
MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment
MYL,Mylan N.V.,Health Care,Pharmaceuticals
NDAQ,"Nasdaq Inc.",Financials,Financial Exchanges & Data
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services
NAVI,Navient,Financials,Consumer Finance
NTAP,NetApp,Information Technology,Internet Software & Services
NFLX,Netflix Inc.,Information Technology,Internet Software & Services
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production
NEM,Newmont Mining Corporation,Materials,Gold
NWSA,News Corp. Class A,Consumer Discretionary,Publishing
NWS,News Corp. Class B,Consumer Discretionary,Publishing
NEE,NextEra Energy,Utilities,Multi-Utilities
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services
NKE,Nike,Consumer Discretionary,"Apparel Accessories & Luxury Goods"
NI,NiSource Inc.,Utilities,Multi-Utilities
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production
JWN,Nordstrom,Consumer Discretionary,Department Stores
NSC,Norfolk Southern Corp.,Industrials,Railroads
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense
NCLH,Norwegian Cruise Line,Consumer Discretionary,"Hotels Resorts & Cruise Lines"
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NUE,Nucor Corp.,Materials,Steel
NVDA,Nvidia Corporation,Information Technology,Semiconductors
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
OMC,Omnicom Group,Consumer Discretionary,Advertising
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation
ORCL,Oracle Corp.,Information Technology,Application Software
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks
PKG,Packaging Corporation of America,Materials,Paper Packaging
PH,Parker-Hannifin,Industrials,Industrial Machinery
PDCO,Patterson Companies,Health Care,Health Care Supplies
PAYX,Paychex Inc.,Information Technology,Internet Software & Services
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services
PNR,Pentair Ltd.,Industrials,Industrial Machinery
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks
PKI,PerkinElmer,Health Care,Health Care Equipment
PRGO,Perrigo,Health Care,Pharmaceuticals
PFE,Pfizer Inc.,Health Care,Pharmaceuticals
PCG,PG&E Corp.,Utilities,Multi-Utilities
PM,Philip Morris International,Consumer Staples,Tobacco
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PNW,Pinnacle West Capital,Utilities,Multi-Utilities
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
PNC,PNC Financial Services,Financials,Regional Banks
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel Accessories & Luxury Goods"
PPG,PPG Industries,Materials,Specialty Chemicals
PPL,PPL Corp.,Utilities,Electric Utilities
PX,Praxair Inc.,Materials,Industrial Gases
PFG,Principal Financial Group,Financials,Life & Health Insurance
PG,Procter & Gamble,Consumer Staples,Personal Products
PGR,Progressive Corp.,Financials,Property & Casualty Insurance
PLD,Prologis,Real Estate,Industrial REITs
PRU,Prudential Financial,Financials,Life & Health Insurance
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities
PSA,Public Storage,Real Estate,Specialized REITs
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding
PVH,PVH Corp.,Consumer Discretionary,"Apparel Accessories & Luxury Goods"
QRVO,Qorvo,Information Technology,Semiconductors
PWR,Quanta Services Inc.,Industrials,Construction & Engineering
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors
DGX,Quest Diagnostics,Health Care,Health Care Services
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage
RTN,Raytheon Co.,Industrials,Aerospace & Defense
O,Realty Income Corporation,Real Estate,Retail REITs
RHT,Red Hat Inc.,Information Technology,Systems Software
REG,Regency Centers Corporation,Real Estate,Retail REITs
REGN,Regeneron,Health Care,Biotechnology
RF,Regions Financial Corp.,Financials,Regional Banks
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services
RMD,ResMed,Health Care,Health Care Equipment
RHI,Robert Half International,Industrials,Human Resource & Employment Services
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment
COL,Rockwell Collins,Industrials,Aerospace & Defense
ROP,Roper Technologies,Industrials,Industrial Conglomerates
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels Resorts & Cruise Lines"
CRM,Salesforce.com,Information Technology,Internet Software & Services
SBAC,SBA Communications,Real Estate,Specialized REITs
SCG,SCANA Corp,Utilities,Multi-Utilities
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services
STX,Seagate Technology,Information Technology,"Technology Hardware Storage & Peripherals"
SEE,Sealed Air,Materials,Paper Packaging
SRE,Sempra Energy,Utilities,Multi-Utilities
SHW,Sherwin-Williams,Materials,Specialty Chemicals
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores
SPG,Simon Property Group Inc,Real Estate,Retail REITs
SWKS,Skyworks Solutions,Information Technology,Semiconductors
SLG,SL Green Realty,Real Estate,Office REITs
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances
SO,Southern Co.,Utilities,Electric Utilities
LUV,Southwest Airlines,Industrials,Airlines
SPGI,"S&P Global Inc.",Financials,Financial Exchanges & Data
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants
STT,State Street Corp.,Financials,Asset Management & Custody Banks
SRCL,Stericycle Inc,Industrials,Environmental & Facilities Services
SYK,Stryker Corp.,Health Care,Health Care Equipment
STI,SunTrust Banks,Financials,Regional Banks
SYMC,Symantec Corp.,Information Technology,Application Software
SYF,Synchrony Financial,Financials,Consumer Finance
SNPS,Synopsys Inc.,Information Technology,Application Software
SYY,Sysco Corp.,Consumer Staples,Food Distributors
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks
TPR,"Tapestry Inc.",Consumer Discretionary,"Apparel Accessories & Luxury Goods"
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services
TXN,Texas Instruments,Information Technology,Semiconductors
TXT,Textron Inc.,Industrials,Aerospace & Defense
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel Accessories & Luxury Goods"
TWX,Time Warner Inc.,Consumer Discretionary,Cable & Satellite
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail
TMK,Torchmark Corp.,Financials,Life & Health Insurance
TSS,Total System Services,Information Technology,Internet Software & Services
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores
TDG,TransDigm Group,Industrials,Aerospace & Defense
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
UDR,UDR Inc,Real Estate,Residential REITs
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores
USB,U.S. Bancorp,Financials,Diversified Banks
UAA,Under Armour,Consumer Discretionary,"Apparel Accessories & Luxury Goods"
UA,Under Armour,Consumer Discretionary,"Apparel Accessories & Luxury Goods"
UNP,Union Pacific,Industrials,Railroads
UAL,United Continental Holdings,Industrials,Airlines
UNH,United Health Group Inc.,Health Care,Managed Health Care
UPS,United Parcel Service,Industrials,Air Freight & Logistics
URI,"United Rentals Inc.",Industrials,Trading Companies & Distributors
UTX,United Technologies,Industrials,Aerospace & Defense
UHS,"Universal Health Services Inc.",Health Care,Health Care Facilities
UNM,Unum Group,Financials,Life & Health Insurance
VFC,V.F. Corp.,Consumer Discretionary,"Apparel Accessories & Luxury Goods"
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
VAR,Varian Medical Systems,Health Care,Health Care Equipment
VTR,Ventas Inc,Real Estate,Health Care REITs
VRSN,Verisign Inc.,Information Technology,Internet Software & Services
VRSK,Verisk Analytics,Industrials,Research & Consulting Services
VZ,Verizon Communications,Telecommunication Services,Integrated Telecommunication Services
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology
VIAB,Viacom Inc.,Consumer Discretionary,Cable & Satellite
V,Visa Inc.,Information Technology,Internet Software & Services
VNO,Vornado Realty Trust,Real Estate,Office REITs
VMC,Vulcan Materials,Materials,Construction Materials
